"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Winker, Jesse",608385,2024,30,430,508,109,72,23,0,14,106,63,20.9,12.4,".253",".405",".360","0.765",".338",".329","69.5","88.6",30.1,7.6,37.4,"98.91091179","93.570274815",19.6,43.2
"Volpe, Anthony",683011,2024,23,637,689,155,109,27,7,12,156,42,22.6,6.1,".243",".364",".293","0.657",".287",".278","69.3","87.7",33.3,3.9,35.4,"98.177841555","93.206482989",22.6,48.1
"Tovar, Ezequiel",678662,2024,22,655,695,176,101,45,4,26,200,23,28.8,3.3,".269",".469",".295","0.764",".324",".289","71.3","88.8",38.5,9,39.8,"99.306485852","93.964016332",33.5,62.3
"Soto, Juan",665742,2024,25,576,713,166,90,31,4,41,119,129,16.7,18.1,".288",".569",".419","0.988",".421",".462","75.4","94.2",35.4,19.7,57,"105.650123728","97.994705143",21.5,37.2
"Suzuki, Seiya",673548,2024,29,512,585,145,91,27,6,21,160,63,27.4,10.8,".283",".482",".366","0.848",".365",".346","73","91.7",38.8,11.5,49.2,"102.565369326","95.834191408",24.5,39.6
"Turang, Brice",668930,2024,24,559,619,142,107,24,4,7,105,50,17,8.1,".254",".349",".316","0.665",".294",".297","66.2","87",32,2.4,29.7,"96.869333063","92.521821874",13.8,47.7
"Altuve, Jose",514888,2024,34,628,682,185,134,31,0,20,119,47,17.4,6.9,".295",".439",".350","0.789",".344",".316","69.4","86.5",35.4,6.5,31.2,"97.323672581","92.693762581",22.1,51.5
"Chapman, Matt",656305,2024,31,575,647,142,74,39,2,27,158,64,24.4,9.9,".247",".463",".328","0.791",".340",".341","76.6","93.2",31.3,12.6,48.3,"104.356012981","96.727633301",23.5,44.6
"Varsho, Daulton",662139,2024,27,459,513,98,52,21,7,18,137,48,26.7,9.4,".214",".407",".293","0.700",".304",".261","73.7","86.1",30.2,6.2,34,"98.537583503","93.276618121",27,47.6
"Arenado, Nolan",571448,2024,33,578,635,157,118,23,0,16,92,44,14.5,6.9,".272",".394",".325","0.719",".314",".296","70.7","86.3",35.9,3.2,31.6,"96.924147927","92.483246402",17.2,46.8
"Rodríguez, Julio",677594,2024,23,567,613,155,118,17,0,20,156,38,25.4,6.2,".273",".409",".325","0.734",".321",".344","76.3","91.7",33.2,10.2,48.4,"103.553687536","96.325344116",30.9,54.3
"Kwan, Steven",680757,2024,26,480,540,140,107,16,3,14,51,53,9.4,9.8,".292",".425",".368","0.793",".349",".333","64.4","86.3",38.5,2.6,23.7,"95.04543782","91.531639359",8.2,39.1
"Reynolds, Bryan",668804,2024,29,622,692,171,115,29,3,24,156,57,22.5,8.2,".275",".447",".344","0.791",".343",".350","71.6","89.9",37.5,9.6,45.4,"100.987209316","94.867542484",29.4,50.4
"García, Luis",671277,2024,24,500,528,141,97,25,1,18,86,27,16.3,5.1,".282",".444",".318","0.762",".328",".331","71.7","89.1",32.8,8,41.7,"100.167127696","94.249397672",21.3,51.7
"Ortiz, Joey",687401,2024,25,440,511,105,63,25,6,11,103,56,20.2,11,".239",".398",".329","0.727",".319",".305","73.4","87.8",26.6,4.6,38.4,"99.391509467","93.766433018",17.1,39.4
"Goldschmidt, Paul",502671,2024,36,599,654,147,91,33,1,22,173,47,26.5,7.2,".245",".414",".302","0.716",".310",".329","72.5","91.2",34.3,10.7,49.6,"101.892583709","95.666428146",27.4,47.7
"Bleday, JJ",668709,2024,26,572,642,139,72,43,4,20,125,67,19.5,10.4,".243",".437",".324","0.761",".330",".316","71.7","88.5",37.1,8.3,36.2,"98.959573229","93.527316345",26.1,45.3
"Torres, Gleyber",650402,2024,27,587,665,151,110,26,0,15,136,65,20.5,9.8,".257",".378",".330","0.708",".313",".307","70.1","88.6",38.2,6.3,35.4,"98.295655921","93.36890443",22.9,45.7
"Castellanos, Nick",592206,2024,32,606,659,154,97,30,4,23,139,41,21.1,6.2,".254",".431",".311","0.742",".321",".333","71.9","88.4",39,8.1,38.2,"99.266703034","93.738511581",30.1,58
"Giménez, Andrés",665926,2024,25,583,633,147,115,22,1,9,97,26,15.3,4.1,".252",".340",".298","0.638",".281",".296","68.3","86.3",32.7,2.8,28.5,"96.492499139","92.262342361",22.8,56.4
