"last_name, first_name","player_id","year","player_age","p_game","pa","hit","home_run","k_percent","bb_percent","batting_avg","p_out","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Miller, Bryce",682243,2024,25,"31",704,131,21,24.3,6.4,".200","541",".260",".299",32.8,9.7,41.2,"80.650222167","94.328141625",24.4,48.9
"Nelson, Ryne",669194,2024,26,"28",630,155,17,20,5.4,".266","452",".322",".315",34.5,7.5,41.6,"79.83287319","94.487586272",18.2,51.8
"Anderson, Tyler",542881,2024,34,"31",765,158,24,18.6,9.5,".232","538",".308",".322",34.1,7.9,33,"76.273537333","93.1219435",27.8,49.3
"Quintana, Jose",500779,2024,35,"31",717,150,22,18.8,8.8,".237","511",".312",".327",32.9,6.7,38.2,"76.44604848","93.89600374",22.2,43.1
"Estes, Joey",683155,2024,22,"25",543,130,23,16.9,5,".259","383",".333",".324",37.2,9.7,39.6,"79.114875902","94.154264829",19.2,55.5
"Stone, Gavin",694813,2024,25,"25",580,133,18,20,6.4,".248","421",".304",".307",32.5,6.4,36.2,"77.107440095","93.702925548",24.7,50.5
"Burnes, Corbin",669203,2024,29,"32",784,165,22,23.1,6.1,".226","583",".273",".284",26.8,6.7,31.6,"76.693803832","93.206229159",28.6,48.8
"Ortiz, Luis",682847,2024,25,"37",556,109,16,19.2,7.6,".218","407",".287",".320",34.9,8.8,37.7,"78.240775528","94.10121864",21,48.1
"Severino, Luis",622663,2024,30,"31",761,166,23,21.2,7.9,".243","546",".308",".305",30.4,5.7,35.6,"75.272418577","93.515669191",22,50.6
"Martinez, Nick",607259,2024,33,"42",570,128,13,20.4,3.2,".237","427",".279",".278",34,5.1,30.5,"74.850496934","92.978959505",23.1,51.1
